,TICKER,EMISOR,VENCIMIENTO,AMORTIZACION,CUPON_DE_RENTA,PROX_VENC,VR,COTIZACION,FECH_ULT_COT,RENTA_ANUAL,INT_CORRIDOS_C100vn,YIELD_ANUAL,VALOR_TECNICO_C100vn,PARIDAD_PERC,TIR_ANUAL,DM,PPV
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,20800.000,15-Feb-22,Fija=6,0.68,6.18,100.68,97.16,8.42%,1.28,1.34
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,20665.000,15-Feb-22,Fija=7.375,0.53,7.63,100.53,96.68,10.23%,1.30,1.37
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.00,20705.000,15-Feb-22,Fija=8.75,3.23,9.29,103.23,94.33,14.84%,1.02,1.19
3,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-22,100.00,22200.000,14-Feb-22,Fija=9.5,4.20,9.48,104.20,100.21,10.70%,1.73,1.92
4,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,17300.000,15-Feb-22,Fija=8.5,0.45,10.50,100.45,81.00,16.55%,2.76,3.10
5,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,21000.000,15-Feb-22,Fija=8.5,0.26,8.63,100.26,98.51,9.42%,2.14,2.31
6,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,18800.000,15-Feb-22,Fija=4,0.06,4.53,100.06,88.37,13.30%,2.19,2.38
7,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-22,100.00,22100.000,15-Feb-22,Fija=10.95,1.43,10.68,101.43,102.48,10.64%,3.40,3.67
8,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,20500.000,15-Feb-22,Fija=8,0.64,8.35,100.64,95.80,9.40%,3.60,3.89
9,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,24200.000,15-Feb-22,Fija=9.125,2.71,8.21,102.71,110.81,6.17%,3.42,3.63
10,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,15000.000,15-Feb-22,Fija=2.5,0.33,3.56,100.33,70.32,16.24%,4.31,5.12
11,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-22,100.00,11700.000,15-Feb-22,Fija=1.5,0.57,2.75,100.57,54.72,15.68%,6.30,8.34
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.00,41300.000,10-Abr-23,Fija=6,1.60,5.99,101.60,100.24,4.96%,0.23,0.23
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-23,100.00,40700.000,10-Abr-23,Fija=7.375,1.66,7.47,101.66,98.73,12.62%,0.26,0.27
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-23,40.00,15850.000,10-Abr-23,Fija=8.75,0.08,8.97,40.08,97.52,11.79%,0.91,0.96
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,40200.000,10-Abr-23,Tasa fija=6.875,2.81,7.14,102.81,96.43,10.77%,0.99,1.05
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-23,73.40,31360.000,10-Abr-23,Fija=9.5,0.66,9.09,74.06,104.42,7.85%,1.26,1.33
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-23,100.00,36800.000,10-Abr-23,Fija=8.5,1.70,9.55,101.70,89.23,14.77%,1.94,2.12
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-23,97.00,38610.000,10-Abr-23,Fija=8.5,1.51,8.80,98.51,96.65,11.61%,1.19,1.33
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-23,92.31,37380.000,10-Abr-23,Fija=9,1.38,9.15,93.69,98.38,10.62%,1.29,1.40
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-23,100.00,41190.000,10-Abr-23,Fija=10.95,0.37,10.82,100.37,101.20,10.91%,2.68,2.83
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-23,100.00,38799.000,10-Abr-23,Fija=8,1.87,8.53,101.87,93.92,10.52%,2.73,2.94
10,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,8-Dic-26,3-Anual,Sem.,8-Jun-23,100.00,44700.000,10-Abr-23,Tasa fija.=9.5,3.27,8.88,103.27,106.74,6.68%,2.28,2.42
11,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,45500.000,10-Abr-23,Fija=9.125,4.11,8.44,104.11,107.78,6.25%,2.56,2.71
12,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-23,90.00,35500.000,10-Abr-23,Tasa fija=8.75,0.88,9.09,90.88,96.33,10.86%,2.00,2.27
13,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Oct-23,100.00,43889.000,10-Abr-23,Tasa fija.=8.25,0.07,7.63,100.07,108.15,5.30%,2.65,2.78
14,IRCFO,IRSA CLASE XIV EN U$S ,22-Jun-28,5-Anual,Sem.,22-Jun-23,100.00,41979.000,10-Abr-23,Tasa fija.=8.75,2.67,8.68,102.67,100.82,8.62%,2.79,3.12
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.00,33900.000,10-Abr-23,Fija=9,2.55,11.10,102.55,81.52,15.30%,3.41,4.05
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-23,100.00,27500.000,10-Abr-23,Fija=7,0.23,10.36,100.23,67.66,13.76%,5.79,7.36
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.00,41600.000,14-Abr-23,Fija=6,1.72,5.84,101.72,102.73,-,0.22,0.21
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-23,100.00,41500.000,17-Abr-23,Fija=7.375,1.80,7.20,101.80,102.39,-,0.26,0.25
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-23,40.00,16050.000,17-Abr-23,Fija=8.75,0.15,8.71,40.15,100.42,8.42%,0.90,0.94
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,41000.000,17-Abr-23,Tasa fija=6.875,2.94,6.87,102.94,100.04,6.93%,0.99,1.03
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-23,73.40,30401.000,17-Abr-23,Fija=9.5,0.79,9.23,74.19,102.92,9.04%,1.23,1.31
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-23,100.00,37500.000,17-Abr-23,Fija=8.5,1.87,9.21,101.87,92.47,12.86%,1.95,2.10
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-23,97.00,39450.000,17-Abr-23,Fija=8.5,1.67,8.46,98.67,100.42,8.27%,1.21,1.31
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-23,92.31,38000.000,17-Abr-23,Fija=9,1.55,8.85,93.85,101.70,7.89%,1.30,1.38
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-23,100.00,41700.000,17-Abr-23,Fija=10.95,0.58,10.51,100.58,104.14,9.75%,2.67,2.81
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-23,100.00,39145.000,17-Abr-23,Fija=8,2.02,8.31,102.02,96.38,9.55%,2.73,2.92
10,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,8-Dic-26,3-Anual,Sem.,8-Jun-23,100.00,45090.000,17-Abr-23,Tasa fija.=9.5,3.46,8.65,103.46,109.47,5.51%,2.28,2.40
11,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,46000.000,17-Abr-23,Fija=9.125,4.28,8.20,104.28,110.80,5.11%,2.57,2.69
12,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-23,90.00,36160.000,17-Abr-23,Tasa fija=8.75,1.03,8.77,91.03,99.78,9.03%,2.02,2.25
13,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Oct-23,100.00,42600.000,17-Abr-23,Tasa fija.=8.25,0.23,7.73,100.23,106.76,5.79%,2.62,2.76
14,IRCFO,IRSA CLASE XIV EN U$S ,22-Jun-28,5-Anual,Sem.,22-Jun-23,100.00,42400.000,17-Abr-23,Tasa fija.=8.75,2.84,8.44,102.84,103.56,7.62%,2.81,3.10
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.00,35995.000,17-Abr-23,Fija=9,2.73,10.26,102.73,88.01,12.96%,3.49,4.03
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-23,100.00,29300.000,17-Abr-23,Fija=7,0.37,9.56,100.37,73.33,12.33%,5.94,7.34
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,19600.000,29-Mar-22,Fija=6,1.42,6.23,101.42,96.39,9.31%,1.17,1.22
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,19650.000,29-Mar-22,Fija=7.375,1.43,7.64,101.43,96.62,10.48%,1.19,1.26
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.00,19500.000,29-Mar-22,Fija=8.75,4.30,9.41,104.30,93.25,16.88%,0.89,1.07
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-22,100.00,19700.000,29-Mar-22,Tasa fija=6.875,2.60,7.19,102.60,95.77,9.36%,1.87,1.98
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,19400.000,29-Mar-22,Fija=9.5,0.61,9.88,100.61,96.18,13.31%,1.66,1.88
5,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,17000.000,29-Mar-22,Fija=8.5,1.49,10.20,101.49,83.55,15.59%,2.67,2.99
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,19300.000,29-Mar-22,Fija=8.5,1.30,8.95,101.30,95.03,11.30%,2.00,2.20
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,17270.000,29-Mar-22,Fija=4,0.54,4.67,100.54,85.67,15.47%,2.05,2.26
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.00,19700.000,29-Mar-22,Fija=10.95,-,11.14,100.00,98.26,11.97%,3.35,3.62
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,19000.000,29-Mar-22,Fija=8,1.62,8.59,101.62,93.25,10.23%,3.46,3.77
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,22250.000,29-Mar-22,Fija=9.125,3.80,8.51,103.80,106.91,7.18%,3.28,3.52
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,19299.000,29-Mar-22,Tasa fija=8.75,0.70,9.16,100.70,95.58,10.73%,2.58,2.94
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14500.000,29-Mar-22,Fija=2.5,0.63,3.49,100.63,71.87,16.05%,4.22,5.01
