,Unnamed: 0,TICKER,EMISOR,VENCIMIENTO,AMORTIZACION,CUPON_DE_RENTA,PROX_VENC,VR,COTIZACION,FECH_ULT_COT,RENTA_ANUAL,INT_CORRIDOS_C100vn,YIELD_ANUAL,VALOR_TECNICO_C100vn,PARIDAD_PERC,TIR_ANUAL,DM,PPV
0,0.0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.0,20800.0,15-Feb-22,Fija=6,0.68,6.18,100.68,97.16,8.42%,1.28,1.34
1,1.0,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.0,20665.0,15-Feb-22,Fija=7.375,0.53,7.63,100.53,96.68,10.23%,1.3,1.37
2,2.0,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.0,20705.0,15-Feb-22,Fija=8.75,3.23,9.29,103.23,94.33,14.84%,1.02,1.19
3,3.0,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-22,100.0,22200.0,14-Feb-22,Fija=9.5,4.20,9.48,104.2,100.21,10.70%,1.73,1.92
4,4.0,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.0,17300.0,15-Feb-22,Fija=8.5,0.45,10.5,100.45,81.0,16.55%,2.76,3.1
5,5.0,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.0,21000.0,15-Feb-22,Fija=8.5,0.26,8.63,100.26,98.51,9.42%,2.14,2.31
6,6.0,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.0,18800.0,15-Feb-22,Fija=4,0.06,4.53,100.06,88.37,13.30%,2.19,2.38
7,7.0,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-22,100.0,22100.0,15-Feb-22,Fija=10.95,1.43,10.68,101.43,102.48,10.64%,3.4,3.67
8,8.0,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.0,20500.0,15-Feb-22,Fija=8,0.64,8.35,100.64,95.8,9.40%,3.6,3.89
9,9.0,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.0,24200.0,15-Feb-22,Fija=9.125,2.71,8.21,102.71,110.81,6.17%,3.42,3.63
10,10.0,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.0,15000.0,15-Feb-22,Fija=2.5,0.33,3.56,100.33,70.32,16.24%,4.31,5.12
11,11.0,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-22,100.0,11700.0,15-Feb-22,Fija=1.5,0.57,2.75,100.57,54.72,15.68%,6.3,8.34
12,0.0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.0,41300.0,10-Abr-23,Fija=6,1.60,5.99,101.6,100.24,4.96%,0.23,0.23
13,1.0,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-23,100.0,40700.0,10-Abr-23,Fija=7.375,1.66,7.47,101.66,98.73,12.62%,0.26,0.27
14,2.0,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-23,40.0,15850.0,10-Abr-23,Fija=8.75,0.08,8.97,40.08,97.52,11.79%,0.91,0.96
15,3.0,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.0,40200.0,10-Abr-23,Tasa fija=6.875,2.81,7.14,102.81,96.43,10.77%,0.99,1.05
16,4.0,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-23,73.4,31360.0,10-Abr-23,Fija=9.5,0.66,9.09,74.06,104.42,7.85%,1.26,1.33
